
========== LOSS FUNCTIONS ==========
PDE losses:
  PDE 1
  PDE 2
BC losses:
BC[1] = Surface Energy
BC[2] = Ice Heat Flux
BC[3] = Ice Gas Flux
====================================

[1] loss = 1.235  (248.1s)
PDE[2] gas eq : scaled=1.4968256291343287e-7   physical≈4.552198279426522e19 m^-3/s
BC[1] surface : scaled=1.1948215477235258   physical≈0.1427963335933137 W/m^2
BC[2] ice heat : scaled=0.015213930498736476   physical≈179.54017712291213 W/m^2
BC[3] ice gas : scaled=0.015213738039017483   physical≈1.4512877582160981e22 m^-2/s
Total PDE = 2.2624309420171467e-5
Total BC  = 1.2252492162612796
Grand Total = 1.2252718405706997
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.333 K, n=8.8145e20 m^-3
[322] loss = 1.22521  (1057.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.334 K, n=8.8121e20 m^-3
[323] loss = 1.22516  (1060.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.335 K, n=8.8097e20 m^-3
[324] loss = 1.22511  (1063.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.336 K, n=8.8073e20 m^-3
[325] loss = 1.22504  (1064.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.337 K, n=8.8051e20 m^-3
[326] loss = 1.22499  (1067.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.338 K, n=8.8029e20 m^-3
[327] loss = 1.22494  (1070.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.339 K, n=8.8007e20 m^-3
[328] loss = 1.2249  (1073.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.34 K, n=8.7986e20 m^-3
[329] loss = 1.22488  (1076.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.341 K, n=8.7964e20 m^-3
[330] loss = 1.22485  (1079.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.342 K, n=8.7945e20 m^-3
[331] loss = 1.22485  (1082.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.343 K, n=8.7924e20 m^-3
[332] loss = 1.22486  (1083.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.344 K, n=8.7903e20 m^-3
[333] loss = 1.22484  (1086.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.345 K, n=8.7881e20 m^-3
[334] loss = 1.22483  (1089.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.345 K, n=8.7858e20 m^-3
[335] loss = 1.22482  (1092.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.346 K, n=8.7834e20 m^-3
[336] loss = 1.2248  (1094.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.347 K, n=8.781e20 m^-3
[337] loss = 1.22477  (1096.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.348 K, n=8.7786e20 m^-3
[338] loss = 1.22474  (1099.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.349 K, n=8.776e20 m^-3
[339] loss = 1.22471  (1102.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.35 K, n=8.7734e20 m^-3
[340] loss = 1.22467  (1104.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.351 K, n=8.7708e20 m^-3
[341] loss = 1.22462  (1106.8s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.2472323822890226e-5   physical≈6.900251616470627 W/m^3
PDE[2] gas eq : scaled=1.3546231461164201e-7   physical≈4.330567486873102e19 m^-3/s
BC[1] surface : scaled=1.1942290957602717   physical≈0.14276092644060412 W/m^2
BC[2] ice heat : scaled=0.015185585631572386   physical≈179.37284971814657 W/m^2
BC[3] ice gas : scaled=0.015185444261428089   physical≈1.4499376126374139e22 m^-2/s
Total PDE = 2.260778613750187e-5
Total BC  = 1.2246001256532721
Grand Total = 1.2246227334394097
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.352 K, n=8.7681e20 m^-3
[342] loss = 1.22457  (1110.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.353 K, n=8.7654e20 m^-3
[343] loss = 1.22452  (1113.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.354 K, n=8.7627e20 m^-3
[344] loss = 1.22446  (1116.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.355 K, n=8.76e20 m^-3
[345] loss = 1.2244  (1118.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.356 K, n=8.7574e20 m^-3
[346] loss = 1.22434  (1121.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.357 K, n=8.7547e20 m^-3
[347] loss = 1.22428  (1124.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.357 K, n=8.7519e20 m^-3
[348] loss = 1.22421  (1126.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.358 K, n=8.7492e20 m^-3
[349] loss = 1.22414  (1129.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.359 K, n=8.7464e20 m^-3
[350] loss = 1.22407  (1132.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.36 K, n=8.7437e20 m^-3
[351] loss = 1.22401  (1133.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.361 K, n=8.7409e20 m^-3
[352] loss = 1.22397  (1135.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.362 K, n=8.7381e20 m^-3
[353] loss = 1.22394  (1137.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.363 K, n=8.7352e20 m^-3
[354] loss = 1.2239  (1139.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.363 K, n=8.7324e20 m^-3
[355] loss = 1.22386  (1141.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.364 K, n=8.7295e20 m^-3
[356] loss = 1.22381  (1144.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.365 K, n=8.7267e20 m^-3
[357] loss = 1.22376  (1145.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.366 K, n=8.724e20 m^-3
[358] loss = 1.2237  (1148.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.367 K, n=8.7212e20 m^-3
[359] loss = 1.22364  (1150.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.368 K, n=8.7185e20 m^-3
[360] loss = 1.22358  (1152.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.369 K, n=8.7157e20 m^-3
[361] loss = 1.22351  (1154.0s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.2489705220660143e-5   physical≈6.902919627945563 W/m^3
PDE[2] gas eq : scaled=1.447440765081549e-7   physical≈4.476472953114234e19 m^-3/s
BC[1] surface : scaled=1.193185593089876   physical≈0.14269854144049465 W/m^2
BC[2] ice heat : scaled=0.015152776802936913   physical≈179.1789752325589 W/m^2
BC[3] ice gas : scaled=0.015152653220405855   physical≈1.4483712884161349e22 m^-2/s
Total PDE = 2.2634449297168298e-5
Total BC  = 1.2234910231132188
Grand Total = 1.2235136575625158
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.369 K, n=8.7129e20 m^-3
[362] loss = 1.22345  (1156.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.37 K, n=8.7102e20 m^-3
[363] loss = 1.22338  (1158.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.371 K, n=8.7074e20 m^-3
[364] loss = 1.2233  (1160.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.372 K, n=8.7046e20 m^-3
[365] loss = 1.22323  (1162.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.373 K, n=8.7019e20 m^-3
[366] loss = 1.22315  (1164.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.374 K, n=8.6991e20 m^-3
[367] loss = 1.22308  (1166.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.375 K, n=8.6964e20 m^-3
[368] loss = 1.223  (1166.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.376 K, n=8.6936e20 m^-3
[369] loss = 1.22293  (1168.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.377 K, n=8.6909e20 m^-3
[370] loss = 1.22285  (1170.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.378 K, n=8.6883e20 m^-3
[371] loss = 1.22277  (1172.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.379 K, n=8.6857e20 m^-3
[372] loss = 1.2227  (1174.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.38 K, n=8.6831e20 m^-3
[373] loss = 1.22262  (1176.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.381 K, n=8.6805e20 m^-3
[374] loss = 1.22255  (1176.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.382 K, n=8.6779e20 m^-3
[375] loss = 1.22247  (1178.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.382 K, n=8.6754e20 m^-3
[376] loss = 1.2224  (1180.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.383 K, n=8.6729e20 m^-3
[377] loss = 1.22233  (1182.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.384 K, n=8.6704e20 m^-3
[378] loss = 1.22225  (1183.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.385 K, n=8.668e20 m^-3
[379] loss = 1.22218  (1185.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.386 K, n=8.6655e20 m^-3
[380] loss = 1.22211  (1187.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.387 K, n=8.663e20 m^-3
[381] loss = 1.22204  (1188.8s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.2512597562636293e-5   physical≈6.906431986208577 W/m^3
PDE[2] gas eq : scaled=0.0001316850690628019   physical≈1.3502178120015185e21 m^-3/s
BC[1] surface : scaled=1.1917822771891955   physical≈0.14261460225815392 W/m^2
BC[2] ice heat : scaled=0.015116542256963428   physical≈178.96461337410733 W/m^2
BC[3] ice gas : scaled=0.015116425344759881   physical≈1.4466388256366763e22 m^-2/s
Total PDE = 0.0001541976666254382
Total BC  = 1.222015244790919
Grand Total = 1.2221694424575444
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.388 K, n=8.6605e20 m^-3
[382] loss = 1.22197  (1190.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.389 K, n=8.658e20 m^-3
[383] loss = 1.2219  (1192.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.39 K, n=8.6557e20 m^-3
[384] loss = 1.22183  (1193.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.391 K, n=8.6533e20 m^-3
[385] loss = 1.22176  (1195.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.392 K, n=8.6509e20 m^-3
[386] loss = 1.22169  (1197.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.393 K, n=8.6485e20 m^-3
[387] loss = 1.22163  (1199.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.394 K, n=8.6462e20 m^-3
[388] loss = 1.22194  (1200.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.395 K, n=8.6439e20 m^-3
[389] loss = 1.22168  (1202.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.396 K, n=8.642e20 m^-3
[390] loss = 1.22242  (1203.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.397 K, n=8.6401e20 m^-3
[391] loss = 1.22358  (1205.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.398 K, n=8.6382e20 m^-3
[392] loss = 1.22528  (1207.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.394 K, n=8.6328e20 m^-3
[393] loss = 1.22717  (1208.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.391 K, n=8.6278e20 m^-3
[394] loss = 1.22904  (1210.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.388 K, n=8.6233e20 m^-3
[395] loss = 1.23079  (1211.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.385 K, n=8.6192e20 m^-3
[396] loss = 1.23239  (1213.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.383 K, n=8.6154e20 m^-3
[397] loss = 1.23383  (1215.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.382 K, n=8.6119e20 m^-3
[398] loss = 1.23509  (1216.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.38 K, n=8.6088e20 m^-3
[399] loss = 1.23619  (1218.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.379 K, n=8.6059e20 m^-3
[400] loss = 1.23728  (1219.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.379 K, n=8.6032e20 m^-3
checkpoint saved at iteration 400 -> checkpoints\checkpoint_100au_iter400.jls
[401] loss = 1.24338  (1224.0s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.2874793260183304e-5   physical≈6.961767643521103 W/m^3
PDE[2] gas eq : scaled=1.6666129785378788e-7   physical≈4.803446353454163e19 m^-3/s
BC[1] surface : scaled=1.2133237789437603   physical≈0.14389771184995195 W/m^2
BC[2] ice heat : scaled=0.015015537550517053   physical≈178.36571435231366 W/m^2
BC[3] ice gas : scaled=0.01501511158177763   physical≈1.4417828222066036e22 m^-2/s
Total PDE = 2.3041454558037093e-5
Total BC  = 1.243354428076055
Grand Total = 1.243377469530613
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.339 K, n=8.5285e20 m^-3
[402] loss = 1.24909  (1227.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.302 K, n=8.4651e20 m^-3
[403] loss = 1.2541  (1229.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.267 K, n=8.4115e20 m^-3
[404] loss = 1.25835  (1232.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.234 K, n=8.3662e20 m^-3
[405] loss = 1.26187  (1233.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.204 K, n=8.328e20 m^-3
[406] loss = 1.26473  (1235.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.176 K, n=8.2958e20 m^-3
[407] loss = 1.26702  (1237.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.15 K, n=8.2686e20 m^-3
[408] loss = 1.26884  (1240.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.126 K, n=8.2456e20 m^-3
[409] loss = 1.27586  (1242.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.104 K, n=8.2261e20 m^-3
[410] loss = 1.2732  (1245.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.921 K, n=8.1428e20 m^-3
[411] loss = 1.27426  (1247.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.741 K, n=8.1056e20 m^-3
[412] loss = 1.27418  (1250.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.568 K, n=8.105e20 m^-3
[413] loss = 1.27363  (1252.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
